file_path:line_number,url,domain,type
apps/merrow.com/next.config.ts:69,https://merrowedge.com/pages/training-support,merrowedge.com,EXTERNAL
apps/merrow.com/app/sitemap.ts:10,https://www.merrow.com,www.merrow.com,PAGE_LINK
apps/merrow.com/app/agentmap.html/AgentMapClient.tsx:25,https://unpkg.com/leaflet@1.9.4/dist/images/marker-icon.png,unpkg.com,EXTERNAL
apps/merrow.com/app/agentmap.html/AgentMapClient.tsx:26,https://unpkg.com/leaflet@1.9.4/dist/images/marker-icon-2x.png,unpkg.com,EXTERNAL
apps/merrow.com/app/agentmap.html/AgentMapClient.tsx:27,https://unpkg.com/leaflet@1.9.4/dist/images/marker-shadow.png,unpkg.com,EXTERNAL
apps/merrow.com/app/agentmap.html/AgentMapClient.tsx:58,https://{s}.tile.openstreetmap.org/{z}/{x}/{y}.png,{s}.tile.openstreetmap.org,EXTERNAL
apps/merrow.com/app/agentmap.html/AgentMapClient.tsx:60,https://www.openstreetmap.org/copyright,www.openstreetmap.org,EXTERNAL
apps/merrow.com/app/agentmap.html/page.tsx:73,"https://www.google.com/maps?q=${agent.latitude},${agent.longitude}`}",www.google.com,DYNAMIC
apps/merrow.com/app/overlock-history/page.tsx:20,https://merrow-media.s3.amazonaws.com/general-http/2011_live/h_05.gif.png,merrow-media.s3.amazonaws.com,S3_ASSET
apps/merrow.com/app/technical-sewing/page.tsx:17,https://merrow-media.s3.amazonaws.com/general-http/t_03.gif,merrow-media.s3.amazonaws.com,S3_ASSET
apps/merrow.com/app/technical-sewing/page.tsx:18,https://merrow-media.s3.amazonaws.com/general-http/t_09.jpg,merrow-media.s3.amazonaws.com,S3_ASSET
apps/merrow.com/app/technical-sewing/page.tsx:19,https://merrow-media.s3.amazonaws.com/general-http/t_06.gif,merrow-media.s3.amazonaws.com,S3_ASSET
apps/merrow.com/app/technical-sewing/page.tsx:183,https://merrow-media.s3.amazonaws.com/applications/${dKey}_main_icon_15x15.jpg`},merrow-media.s3.amazonaws.com,S3_ASSET
apps/merrow.com/app/end-to-end-seaming/page.tsx:17,https://merrow-media.s3.amazonaws.com/general-http/e_03.gif,merrow-media.s3.amazonaws.com,S3_ASSET
apps/merrow.com/app/end-to-end-seaming/page.tsx:18,https://merrow-media.s3.amazonaws.com/general-http/e_09.jpg,merrow-media.s3.amazonaws.com,S3_ASSET
apps/merrow.com/app/end-to-end-seaming/page.tsx:19,https://merrow-media.s3.amazonaws.com/general-http/e_09.png,merrow-media.s3.amazonaws.com,S3_ASSET
apps/merrow.com/app/end-to-end-seaming/page.tsx:20,https://merrow-media.s3.amazonaws.com/general-http/e_13.png,merrow-media.s3.amazonaws.com,S3_ASSET
apps/merrow.com/app/end-to-end-seaming/page.tsx:21,https://merrow-media.s3.amazonaws.com/general-http/e_15.png,merrow-media.s3.amazonaws.com,S3_ASSET
apps/merrow.com/app/end-to-end-seaming/page.tsx:224,https://merrow-media.s3.amazonaws.com/applications/${dKey}_main_icon_15x15.jpg`},merrow-media.s3.amazonaws.com,S3_ASSET
apps/merrow.com/app/support/page.tsx:40,https://www.merrow.com/video.html\,www.merrow.com,DYNAMIC
apps/merrow.com/app/support/page.tsx:146,https://merrowedge.com/pages/training-support,merrowedge.com,EXTERNAL
apps/merrow.com/app/support/diagram/[diagram]/showthemapicture/[show]/page.tsx:44,https://www.merrow.com/cephei/images/threadingdiagrams/${record.image}`;,www.merrow.com,DYNAMIC
apps/merrow.com/app/support/_components/SupportSidebar.tsx:66,https://www.merrow.com/videoHD.php,www.merrow.com,PAGE_LINK
apps/merrow.com/app/support/_components/SupportSidebar.tsx:114,https://www.merrow.com/agent_book/kiwifruit/instructions/language/english/type/MG/setnum/72157606829542814/setnam/mginstructions,www.merrow.com,PAGE_LINK
apps/merrow.com/app/support/_components/SupportSidebar.tsx:119,https://www.merrow.com/stitch/marketplace/general/stitch/front_overlock/label/143627189/setnum/72157606893157487/setnum1/72157607323739660/setnam/general%20overlock/resolution/low,www.merrow.com,PAGE_LINK
apps/merrow.com/app/support/_components/SupportSidebar.tsx:169,https://www.merrow.com/agent_book/kiwifruit/instructions/language/english/type/70/setnum/72157606831978449/setnam/70classinstructions,www.merrow.com,PAGE_LINK
apps/merrow.com/app/support/_components/SupportSidebar.tsx:174,https://www.merrow.com/stitch/marketplace/general/stitch/front_textile/label/145362189/setnum/72157606892968601/setnum1/72157607324383640/setnam/Textile%20Finishing/resolution/low,www.merrow.com,PAGE_LINK
apps/merrow.com/app/support/_components/SupportSidebar.tsx:229,https://www.merrow.com/agent_book/kiwifruit/partsbook/language/english/type/crochet/setnum/72157606826978368/setnam/crochet,www.merrow.com,PAGE_LINK
apps/merrow.com/app/support/_components/SupportSidebar.tsx:234,https://www.merrow.com/stitch/marketplace/general/stitch/front_crochet/label/145327189/setnum/72157606906056879/setnum1/72157607323790836/setnam/crochet/resolution/low,www.merrow.com,PAGE_LINK
apps/merrow.com/app/support/_components/SupportDocsPanel.tsx:54,https://www.merrow.com/agent_book/kiwifruit/partsbook/language/english/type/MG/setnum/72157606827670334/setnam/mgpartsbook,www.merrow.com,PAGE_LINK
apps/merrow.com/app/support/_components/SupportDocsPanel.tsx:55,https://www.merrow.com/agent_book/kiwifruit/partsbook/language/english/type/70/setnum/72157606828138530/setnam/70classbook,www.merrow.com,PAGE_LINK
apps/merrow.com/app/support/_components/SupportDocsPanel.tsx:56,https://www.merrow.com/agent_book/kiwifruit/partsbook/language/english/type/crochet/setnum/72157606826978368/setnam/crochet,www.merrow.com,PAGE_LINK
apps/merrow.com/app/support/_components/SupportDocsPanel.tsx:57,https://www.merrow.com/agent_book/kiwifruit/partsbook/language/english/type/60/setnum/72157606826047178/setnam/60class,www.merrow.com,PAGE_LINK
apps/merrow.com/app/support/_components/SupportDocsPanel.tsx:58,https://www.merrow.com/agent_book/kiwifruit/partsbook/language/english/type/A/setnum/72157606832488303/setnam/Aclassparts,www.merrow.com,PAGE_LINK
apps/merrow.com/app/support/_components/SupportDocsPanel.tsx:64,https://www.merrow.com/agent_book/kiwifruit/instructions/language/english/type/MG/setnum/72157606829542814/setnam/mginstructions,www.merrow.com,PAGE_LINK
apps/merrow.com/app/support/_components/SupportDocsPanel.tsx:65,https://www.merrow.com/agent_book/kiwifruit/instructions/language/spanish/type/MG/setnum/72157606830005278/setnam/mgpspanishinstruction,www.merrow.com,PAGE_LINK
apps/merrow.com/app/support/_components/SupportDocsPanel.tsx:66,https://www.merrow.com/agent_book/kiwifruit/instructions/language/english/type/70/setnum/72157606831978449/setnam/70classinstructions,www.merrow.com,PAGE_LINK
apps/merrow.com/app/support/_components/SupportDocsPanel.tsx:72,https://www.merrow.com/agent_book/kiwifruit/book/language/english/setnum/72157607489347906/setnam/english_book/type/BS,www.merrow.com,PAGE_LINK
apps/merrow.com/app/support/_components/SupportDocsPanel.tsx:73,https://www.merrow.com/agent_book/kiwifruit/book/language/portuguese/setnum/72157606583868719/setnam/rivitex_book/type/BS,www.merrow.com,PAGE_LINK
apps/merrow.com/app/support/_components/SupportDocsPanel.tsx:74,https://www.merrow.com/agent_book/kiwifruit/book/language/turkish/setnum/72157606834081591/setnam/turkish_book/type/BS,www.merrow.com,PAGE_LINK
apps/merrow.com/app/support/_components/SupportDocsPanel.tsx:75,https://www.merrow.com/agent_book/kiwifruit/book/language/spanish/setnum/72157606834229615/setnam/spanish_book/type/BS,www.merrow.com,PAGE_LINK
apps/merrow.com/app/support/_components/SupportDocsPanel.tsx:76,https://www.merrow.com/agent_book/kiwifruit/book/language/mandarin/setnum/72157606831254410/setnam/mandarin_book/type/BS,www.merrow.com,PAGE_LINK
apps/merrow.com/app/support/class/key/mediakeyword/[mk]/page.tsx:35,https://www.merrow.com/${trimmed}`;,www.merrow.com,DYNAMIC
apps/merrow.com/app/machines/_components/ThumbnailGallery.tsx:13,https://merrow-media.s3.amazonaws.com/product-pages,merrow-media.s3.amazonaws.com,S3_ASSET
apps/merrow.com/app/machines/_components/ApplicationsStrip.tsx:13,https://merrow-media.s3.amazonaws.com/applications,merrow-media.s3.amazonaws.com,S3_ASSET
apps/merrow.com/app/machines/_components/StitchGallery.tsx:14,https://www.flickr.com/photos/merrowmachine/sets/${flickrSet}`;,www.flickr.com,DYNAMIC
apps/merrow.com/app/_components/TopPromoBar.tsx:13,https://merrowedge.com,merrowedge.com,EXTERNAL
apps/merrow.com/app/_components/TopPromoBar.tsx:35,https://activeseam.com,activeseam.com,EXTERNAL
apps/merrow.com/app/_components/TopPromoBar.tsx:42,https://www.activeseam.com,www.activeseam.com,EXTERNAL
apps/merrow.com/app/_components/TopPromoBar.tsx:44,https://activeseam.com/ActiveSeam_Images/merrow_activeseam_logo.png,activeseam.com,EXTERNAL
apps/merrow.com/app/_components/Footer.tsx:69,https://blog.merrow.com,blog.merrow.com,EXTERNAL
apps/merrow.com/app/_components/Footer.tsx:88,https://www.facebook.com/MerrowSewingMachineCo,www.facebook.com,EXTERNAL
apps/merrow.com/app/_components/Footer.tsx:95,https://www.facebook.com/MerrowSewingMachineCo,www.facebook.com,EXTERNAL
apps/merrow.com/app/_components/Footer.tsx:166,https://www.facebook.com/MerrowSewingMachineCo,www.facebook.com,EXTERNAL
apps/merrow.com/app/_components/Footer.tsx:172,https://www.linkedin.com/company/merrow,www.linkedin.com,EXTERNAL
apps/merrow.com/app/_components/Footer.tsx:185,https://merrow.us1.list-manage.com/subscribe/post?u=37c9768198782ef495d6853dc&amp;id=aae6b66b9e,merrow.us1.list-manage.com,EXTERNAL
apps/merrow.com/app/_components/Footer.tsx:224,https://www.merrowedge.com,www.merrowedge.com,EXTERNAL
apps/merrow.com/app/_components/Footer.tsx:228,https://merrowmfg.com,merrowmfg.com,EXTERNAL
apps/merrow.com/app/_components/Header.tsx:57,https://www.youtube.com/user/merrowmachine,www.youtube.com,EXTERNAL
apps/merrow.com/app/_components/Header.tsx:59,https://www.activeseam.com,www.activeseam.com,EXTERNAL
apps/merrow.com/app/_components/Header.tsx:60,https://merrowedge.com/pages/about-merrow,merrowedge.com,EXTERNAL
apps/merrow.com/app/_components/Header.tsx:63,https://merrowedge.com,merrowedge.com,EXTERNAL
apps/merrow.com/app/_components/Header.tsx:64,https://www.facebook.com/MerrowSewingMachineCo,www.facebook.com,EXTERNAL
apps/merrow.com/app/_components/Header.tsx:65,https://www.linkedin.com/company/merrow-group/,www.linkedin.com,EXTERNAL
apps/merrow.com/app/_components/MachinePage.tsx:26,https://merrow-media.s3.amazonaws.com,merrow-media.s3.amazonaws.com,S3_ASSET
apps/merrow.com/app/v3/technical-sewing/page.tsx:16,https://merrow-media.s3.amazonaws.com/general-http/t_03.gif,merrow-media.s3.amazonaws.com,S3_ASSET
apps/merrow.com/app/v3/technical-sewing/page.tsx:17,https://merrow-media.s3.amazonaws.com/general-http/t_09.jpg,merrow-media.s3.amazonaws.com,S3_ASSET
apps/merrow.com/app/v3/technical-sewing/page.tsx:22,https://merrow-media.s3.amazonaws.com/customer-logos/milliken.png,merrow-media.s3.amazonaws.com,S3_ASSET
apps/merrow.com/app/v3/technical-sewing/page.tsx:23,https://merrow-media.s3.amazonaws.com/customer-logos/guilford.png,merrow-media.s3.amazonaws.com,S3_ASSET
apps/merrow.com/app/v3/technical-sewing/page.tsx:24,https://merrow-media.s3.amazonaws.com/customer-logos/3m.png,merrow-media.s3.amazonaws.com,S3_ASSET
apps/merrow.com/app/v3/technical-sewing/page.tsx:25,https://merrow-media.s3.amazonaws.com/customer-logos/brightec.png,merrow-media.s3.amazonaws.com,S3_ASSET
apps/merrow.com/app/v3/technical-sewing/page.tsx:26,https://merrow-media.s3.amazonaws.com/customer-logos/brfl.png,merrow-media.s3.amazonaws.com,S3_ASSET
apps/merrow.com/app/v3/technical-sewing/page.tsx:27,https://merrow-media.s3.amazonaws.com/customer-logos/gildan.png,merrow-media.s3.amazonaws.com,S3_ASSET
apps/merrow.com/app/v3/technical-sewing/page.tsx:28,https://merrow-media.s3.amazonaws.com/customer-logos/penn-emblem.png,merrow-media.s3.amazonaws.com,S3_ASSET
apps/merrow.com/app/v3/technical-sewing/page.tsx:29,https://merrow-media.s3.amazonaws.com/customer-logos/griffin.png,merrow-media.s3.amazonaws.com,S3_ASSET
apps/merrow.com/app/v3/technical-sewing/page.tsx:52,http://www.w3.org/2000/svg,www.w3.org,EXTERNAL
apps/merrow.com/app/parts/page.tsx:17,https://www.merrow.com/agent_book/kiwifruit/partsbook/language/english/type/MG/setnum/72157606827670334/setnam/mgpartsbook,www.merrow.com,PAGE_LINK
apps/merrow.com/app/parts/page.tsx:21,https://www.merrow.com/agent_book/kiwifruit/partsbook/language/english/type/70/setnum/72157606828138530/setnam/70classbook,www.merrow.com,PAGE_LINK
apps/merrow.com/app/parts/page.tsx:25,https://www.merrow.com/agent_book/kiwifruit/partsbook/language/english/type/crochet/setnum/72157606826978368/setnam/crochet,www.merrow.com,PAGE_LINK
apps/merrow.com/app/parts/page.tsx:29,https://www.merrow.com/agent_book/kiwifruit/partsbook/language/english/type/60/setnum/72157606826047178/setnam/60class,www.merrow.com,PAGE_LINK
apps/merrow.com/app/parts/page.tsx:33,https://www.merrow.com/agent_book/kiwifruit/partsbook/language/english/type/A/setnum/72157606832488303/setnam/Aclassparts,www.merrow.com,PAGE_LINK
apps/merrow.com/app/parts/[cp]/[mmc_code]/page.tsx:81,https://images.imerrow.com/images/products/large/${record.msmcId}.jpg`,images.imerrow.com,DYNAMIC
apps/merrow.com/app/parts/[cp]/[mmc_code]/page.tsx:86,https://images.imerrow.com/images/products/thumb/${record.msmcId}_t${index,images.imerrow.com,DYNAMIC
apps/merrow.com/app/parts/[cp]/[mmc_code]/page.tsx:223,https://images.imerrow.com/images/products/thumb/${part.msmcId}_t1.jpg`,images.imerrow.com,DYNAMIC
apps/merrow.com/app/fashion-sewing/page.tsx:17,https://merrow-media.s3.amazonaws.com/general-http/f_03.gif,merrow-media.s3.amazonaws.com,S3_ASSET
apps/merrow.com/app/fashion-sewing/page.tsx:18,https://merrow-media.s3.amazonaws.com/general-http/f_09.jpg,merrow-media.s3.amazonaws.com,S3_ASSET
apps/merrow.com/app/fashion-sewing/page.tsx:19,https://merrow-media.s3.amazonaws.com/general-http/f_06.gif,merrow-media.s3.amazonaws.com,S3_ASSET
apps/merrow.com/app/fashion-sewing/page.tsx:197,https://merrow-media.s3.amazonaws.com/applications/${dKey}_main_icon_15x15.jpg`},merrow-media.s3.amazonaws.com,S3_ASSET
apps/merrow.com/scripts/backstop-parity.ts:7,https://www.merrow.com,www.merrow.com,PAGE_LINK
apps/merrow.com/scripts/backstop-parity.ts:13,https://www.merrow.com,www.merrow.com,PAGE_LINK
apps/merrow.com/scripts/backstop-parity.ts:19,http://localhost:3000,localhost:3000,DEV_ONLY
apps/merrow.com/scripts/backstop-parity.ts:20,http://localhost:3000,localhost:3000,DEV_ONLY
apps/merrow.com/scripts/backstop-parity.ts:72,http://localhost:3000,localhost:3000,DEV_ONLY
apps/merrow.com/scripts/backstop-parity.ts:82,http://localhost:3000,localhost:3000,DEV_ONLY
apps/merrow.com/scripts/backstop-parity.ts:94,https://www.merrow.com,www.merrow.com,PAGE_LINK
apps/merrow.com/scripts/backstop-parity.ts:102,https://www.merrow.com,www.merrow.com,PAGE_LINK
apps/merrow.com/scripts/layout-telemetry.ts:7,http://localhost:3000,localhost:3000,DEV_ONLY
apps/merrow.com/scripts/layout-telemetry.ts:7,https://www.merrow.com,www.merrow.com,PAGE_LINK
apps/merrow.com/scripts/layout-telemetry.ts:229,http://localhost:3000,localhost:3000,DEV_ONLY
apps/merrow.com/scripts/layout-telemetry.ts:230,https://www.merrow.com,www.merrow.com,PAGE_LINK
apps/merrow.com/scripts/gate-forms.ts:7,http://localhost:3000,localhost:3000,DEV_ONLY
apps/merrow.com/scripts/gate-data.ts:73,https://qyvpzhimzxmlvapzbtyo.supabase.co,qyvpzhimzxmlvapzbtyo.supabase.co,EXTERNAL
apps/merrow.com/scripts/gate-redirects.ts:103,http://localhost:3000,localhost:3000,DEV_ONLY
apps/merrow.com/scripts/gate-dom-structure.ts:45,http://localhost:3000,localhost:3000,DEV_ONLY
apps/merrow.com/scripts/gate-dom-structure.ts:132,https://preview.vercel.app,preview.vercel.app,EXTERNAL
apps/merrow.com/scripts/gate-routes.ts:6,http://localhost:3000],,EXTERNAL
apps/merrow.com/scripts/gate-routes.ts:106,http://localhost:3000,localhost:3000,DEV_ONLY
